         3472141 function calls (3350888 primitive calls) in 10.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6934    0.173    0.000    0.173    0.000 {built-in method posix.stat}
     6413    0.004    0.000    0.173    0.000 /usr/lib/python3.8/re.py:250(compile)
      112    0.001    0.000    0.170    0.002 /usr/lib/python3.8/dataclasses.py:375(_create_fn)
        1    0.000    0.000    0.170    0.170 /usr/lib/python3.8/socket.py:901(getaddrinfo)
        1    0.170    0.170    0.170    0.170 {built-in method _socket.getaddrinfo}
1383/1356    0.003    0.000    0.169    0.000 {method 'extend' of 'list' objects}
       26    0.001    0.000    0.161    0.006 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:657(add_entry)
      389    0.062    0.000    0.159    0.000 /home/pi/.local/lib/python3.8/site-packages/scipy/_lib/doccer.py:13(docformat)
      344    0.003    0.000    0.158    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/requirements.py:33(__init__)
      260    0.004    0.000    0.153    0.001 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:2116(find_on_path)
3025/2817    0.024    0.000    0.153    0.000 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/markers.py:130(_evaluate_markers)
        6    0.000    0.000    0.151    0.025 /usr/lib/python3.8/dataclasses.py:548(_frozen_get_del_attr)
      119    0.131    0.001    0.151    0.001 /usr/lib/python3.8/collections/__init__.py:313(namedtuple)
      126    0.004    0.000    0.150    0.001 /home/pi/.local/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:755(_construct_doc)
36861/9992    0.017    0.000    0.149    0.000 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler_util.py:475(<genexpr>)
        1    0.000    0.000    0.147    0.147 /home/pi/.local/lib/python3.8/site-packages/scipy/spatial/_kdtree.py:3(<module>)
        1    0.000    0.000    0.146    0.146 /home/pi/.local/lib/python3.8/site-packages/psutil/__init__.py:7(<module>)
        1    0.000    0.000    0.144    0.144 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/__init__.py:1(<module>)
   239349    0.109    0.000    0.144    0.000 /usr/lib/python3.8/inspect.py:63(ismodule)
        1    0.000    0.000    0.140    0.140 /home/pi/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:1(<module>)
        1    0.000    0.000    0.140    0.140 /home/pi/.local/lib/python3.8/site-packages/matplotlib/axes/_axes.py:1(<module>)
        1    0.000    0.000    0.139    0.139 /home/pi/.local/lib/python3.8/site-packages/matplotlib/patches.py:1(<module>)
        1    0.000    0.000    0.137    0.137 /home/pi/.local/lib/python3.8/site-packages/pandas/core/generic.py:2(<module>)
       24    0.000    0.000    0.135    0.006 /usr/lib/python3.8/importlib/__init__.py:109(import_module)
       24    0.000    0.000    0.135    0.006 <frozen importlib._bootstrap>:1002(_gcd_import)
     1735    0.011    0.000    0.133    0.000 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler_util.py:483(self_cuda_time_total)
        1    0.000    0.000    0.133    0.133 /home/pi/.local/lib/python3.8/site-packages/pandas/compat/__init__.py:1(<module>)
     1895    0.007    0.000    0.133    0.000 /usr/lib/python3.8/inspect.py:714(getabsfile)
        1    0.000    0.000    0.131    0.131 /home/pi/.local/lib/python3.8/site-packages/mpl_toolkits/mplot3d/__init__.py:1(<module>)
      870    0.023    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.000    0.000    0.130    0.130 /home/pi/.local/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:5(<module>)
      288    0.003    0.000    0.129    0.000 /usr/lib/python3.8/sre_parse.py:937(parse)
