         2485239 function calls (2437267 primitive calls) in 18.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.181    0.181 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/numpy_ops/np_array_ops.py:15(<module>)
     1983    0.005    0.000    0.180    0.000 /usr/lib/python3.8/traceback.py:285(line)
        1    0.000    0.000    0.180    0.180 /home/pi/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:17(<module>)
      4/3    0.000    0.000    0.179    0.060 /home/pi/.local/lib/python3.8/site-packages/scipy/__init__.py:198(__getattr__)
      959    0.004    0.000    0.179    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/traceback_utils.py:118(filter_traceback)
        1    0.002    0.002    0.178    0.178 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/math_ops.py:15(<module>)
        1    0.000    0.000    0.177    0.177 /home/pi/.local/lib/python3.8/site-packages/scipy/ndimage/__init__.py:1(<module>)
        1    0.000    0.000    0.173    0.173 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/optimizer_v2/adadelta.py:15(<module>)
        1    0.000    0.000    0.173    0.173 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/debug/cli/analyzer_cli.py:15(<module>)
     1983    0.004    0.000    0.173    0.000 /usr/lib/python3.8/linecache.py:15(getline)
      411    0.001    0.000    0.173    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:2830(__call__)
        1    0.000    0.000    0.172    0.172 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/data/experimental/ops/iterator_ops.py:15(<module>)
        1    0.000    0.000    0.171    0.171 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/distribute/distribute_lib.py:16(<module>)
        1    0.000    0.000    0.171    0.171 /home/pi/.local/lib/python3.8/site-packages/setuptools/dist.py:1(<module>)
