,latency,thread count,API,Load
207,0.1157449739999947,1,onnx,No load
208,0.1157806979999804,1,onnx,No load
209,0.1154519970000365,1,onnx,No load
210,0.1158174570000483,1,onnx,No load
211,0.1155453110000053,1,onnx,No load
212,0.1159204010000394,1,onnx,No load
213,0.1157398469999861,1,onnx,No load
214,0.1157022539999843,1,onnx,No load
215,0.1156604980000111,1,onnx,No load
216,0.1155678500000476,1,onnx,No load
217,0.1158479779999197,1,onnx,No load
218,0.1157304229999454,1,onnx,No load
219,0.1156776080000554,1,onnx,No load
220,0.115885014000014,1,onnx,No load
221,0.1156086460000551,1,onnx,No load
222,0.1165991030001123,1,onnx,No load
223,0.1168753040000183,1,onnx,No load
224,0.1164973999999574,1,onnx,No load
225,0.1163400500000761,1,onnx,No load
226,0.1168206379999219,1,onnx,No load
227,0.1165401399999837,1,onnx,No load
228,0.1165799929999593,1,onnx,No load
229,0.1166903810000121,1,onnx,No load
230,0.1165901050000002,1,onnx,No load
231,0.1164239219999672,1,onnx,No load
232,0.1168839550000484,1,onnx,No load
233,0.1164766629999576,1,onnx,No load
234,0.1163833479999993,1,onnx,No load
235,0.1164845700000114,1,onnx,No load
236,0.1164149229999793,1,onnx,No load
237,0.1165273489999663,1,onnx,No load
238,0.1166195340000513,1,onnx,No load
239,0.1166227560000834,1,onnx,No load
