,ncalls,tottime,percall_tot,cumtime,percall_cum,filename:lineno(function)
159,        1,   0.002,   0.002,   0.002,   0.002,{built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.CreateWrapperFromFile}
160,     1283,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:37(_check)
161,       12,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1734(_consolidate_check)
162,       56,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:6147(__finalize__)
163,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/csvs.py:311(_save_chunk)
164,       38,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:261(_isna_array)
165,       19,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/accessor.py:206(_validate)
166,      113,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/printing.py:162(pprint_thing)
167,      190,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/common.py:296(maybe_iterable_to_list)
168,        3,   0.000,   0.000,   0.002,   0.001,{method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
169,       10,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:638(_extract_index)
170,       30,   0.000,   0.000,   0.002,   0.000,<__array_function__ internals>:177(vstack)
171,       28,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2406(all)
172,       12,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1740(<listcomp>)
173,       21,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/construction.py:743(_try_cast)
174,       10,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:481(<listcomp>)
175,      126,   0.001,   0.000,   0.001,   0.000,/usr/lib/python3.10/re.py:288(_compile)
176,       10,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/series.py:1016(__getitem__)
177,       61,   0.000,   0.000,   0.001,   0.000,<__array_function__ internals>:177(concatenate)
178,       19,   0.001,   0.000,   0.001,   0.000,{pandas._libs.lib.map_infer_mask}
179,       88,   0.001,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:274(__init__)
180,       50,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:1536(_validate_key)
181,      493,   0.001,   0.000,   0.001,   0.000,{built-in method _abc._abc_instancecheck}
182,       60,   0.001,   0.000,   0.001,   0.000,{built-in method posix.lstat}
183,        1,   0.000,   0.000,   0.001,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/range.py:859(delete)
184,       19,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/nanops.py:1491(_maybe_null_out)
185,       25,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:479(get_adjustment)
186,       19,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1569(maybe_cast_to_integer_array)
187,      197,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/_dtype.py:330(_name_includes_bit_suffix)
188,       40,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
189,       30,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/shape_base.py:222(vstack)
190,       19,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/nanops.py:1539(check_below_min_count)
191,        1,   0.000,   0.000,   0.001,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:3579(difference)
192,     2430,   0.001,   0.000,   0.001,   0.000,{built-in method builtins.getattr}
193,       10,   0.000,   0.000,   0.001,   0.000,{built-in method builtins.__build_class__}
194,       49,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1938(<listcomp>)
195,      237,   0.001,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/_config/config.py:633(_get_root)
196,      101,   0.000,   0.000,   0.001,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:431(justify)
